Flux	Ic
-3.89611	0.0252203
-3.89511	0.0254708
-3.89411	0.0257212
-3.89311	0.0259715
-3.89211	0.0262216
-3.89111	0.0264716
-3.89011	0.0267214
-3.88911	0.0269711
-3.88811	0.0272207
-3.88711	0.0274702
-3.88611	0.0277195
-3.88511	0.0279686
-3.88411	0.0282176
-3.88311	0.0284665
-3.88211	0.0287152
-3.88111	0.0289637
-3.88011	0.0292121
-3.87911	0.0294603
-3.87811	0.0297084
-3.87711	0.0299563
-3.87611	0.030204
-3.87511	0.0304516
-3.87411	0.030699
-3.87311	0.0309462
-3.87211	0.0311932
-3.87111	0.0314401
-3.87011	0.0316867
-3.86911	0.0319332
-3.86811	0.0321795
-3.86711	0.0324256
-3.86611	0.0326715
-3.86511	0.0329172
-3.86411	0.0331627
-3.86311	0.033408
-3.86211	0.0336531
-3.86111	0.033898
-3.86011	0.0341427
-3.85911	0.0343872
-3.85811	0.0346315
-3.85711	0.0348755
-3.85611	0.0351194
-3.85511	0.035363
-3.85411	0.0356064
-3.85311	0.0358495
-3.85211	0.0360925
-3.85111	0.0363352
-3.85011	0.0365777
-3.84912	0.0368199
-3.84812	0.0370619
-3.84712	0.0373037
-3.84612	0.0375452
-3.84512	0.0377864
-3.84412	0.0380275
-3.84312	0.0382682
-3.84212	0.0385088
-3.84112	0.038749
-3.84012	0.038989
-3.83912	0.0392288
-3.83812	0.0394682
-3.83712	0.0397075
-3.83612	0.0399464
-3.83512	0.0401851
-3.83412	0.0404235
-3.83312	0.0406616
-3.83212	0.0408995
-3.83112	0.041137
-3.83012	0.0413743
-3.82912	0.0416113
-3.82812	0.041848
-3.82712	0.0420845
-3.82612	0.0423206
-3.82512	0.0425564
