Phase	CPR
5.98159	-0.297042
5.99416	-0.285019
6.00673	-0.272952
6.01929	-0.260842
6.03186	-0.24869
6.04442	-0.236499
6.05699	-0.224271
6.06956	-0.212007
6.08212	-0.19971
6.09469	-0.187381
6.10726	-0.175023
6.11982	-0.162637
6.13239	-0.150226
6.14496	-0.13779
6.15752	-0.125333
6.17009	-0.112856
6.18265	-0.100362
6.19522	-0.0878512
6.20779	-0.0753268
6.22035	-0.0627905
6.23292	-0.0502443
6.24549	-0.0376902
6.25805	-0.0251301
6.27062	-0.012566
6.28319	2.44929e-16
